id,sector,name,pitch,target_market,model_slug,budget_band,location,team,time_mode,source,ref
3032,ODOP (One District One Product),Banka Silk,Banka Silk is the ODOP of Banka. Work with its makers and sell their work to city and export buyers.,,handloom-textiles-brand,3,,,,odop,odop:banka-silk
3033,ODOP (One District One Product),Basholi Pashmina,Basholi Pashmina is the ODOP of Kathua. Work with its makers and sell their work to city and export buyers.,,handloom-textiles-brand,2,,,,odop,odop:basholi-pashmina
3034,ODOP (One District One Product),Basmati Rice Processing Unit,"Basmati Rice is the ODOP of Jammu, Raisen, Faridkot and 2 more. Buy direct from growers there and sell a processed, branded product.",,agro-processing-unit,3,,,,odop,odop:basmati-rice
3035,ODOP (One District One Product),Bastar Craft,Bastar Craft is the ODOP of Kondagaon. Work with its makers and sell their work to city and export buyers.,,handcrafted-home-decor,2,,,,odop,odop:bastar-craft
3036,ODOP (One District One Product),Batik Print,Batik print is the ODOP of Ujjain. Work with its makers and sell their work to city and export buyers.,,handloom-textiles-brand,2,,,,odop,odop:batik-print
3037,ODOP (One District One Product),Bawan Booti,Bawan Booti is the ODOP of Nalanda. Work with its makers and sell their work to city and export buyers.,,handloom-textiles-brand,3,,,,odop,odop:bawan-booti
3038,ODOP (One District One Product),Bead Necklace,Bead Necklace is the ODOP of Longding. Work with its makers and sell their work to city and export buyers.,,jewellery-brand,2,,,,odop,odop:bead-necklace
3039,ODOP (One District One Product),Bedsheets,Bedsheets is the ODOP of Fatehpur. Work with its makers and sell their work to city and export buyers.,,handloom-textiles-brand,3,,,,odop,odop:bedsheet
3040,ODOP (One District One Product),Bell Metal Products,Bell Metal Products is the ODOP of Barpeta. Work with its makers and sell their work to city and export buyers.,,handcrafted-home-decor,2,,,,odop,odop:bell-metal-product
3041,ODOP (One District One Product),Bellary Denim Jeans Unit,Bellary Denim Jeans is the ODOP of Ballary. Work with its makers and sell their work to city and export buyers.,,d2c-apparel-brand,4,,,,odop,odop:bellary-denim-jean
